,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
304,vauxhall,4687.431330472104,2006,120000,Manual,1.9,Diesel,1795,Great
305,volvo,3124.666666666666,2006,172584,Automatic,2.4,Diesel,2499,Higher
306,toyota,3982.165680473373,2006,65324,Manual,1.0,Petrol,1790,Great
307,audi,5946.259259259259,2006,115000,Manual,2.0,Petrol,2400,Great
308,fiat,2123.4,2006,75367,Manual,1.6,Petrol,1750,Fair
309,bmw,8238.234042553191,2006,126000,Manual,2.5,Petrol,2994,Great
310,renault,5933.241258741258,2006,55000,Manual,1.2,Petrol,1730,Good
311,toyota,4719.1679389312985,2006,88113,Manual,1.0,Petrol,1595,Great
312,ford,3930.285714285714,2006,40000,Manual,2.0,Diesel,5995,Fair
313,mini,6426.404682274248,2006,91000,Manual,1.6,Petrol,1990,Great
314,volkswagen,5994.9082568807335,2006,95000,Manual,1.9,Diesel,1995,Great
315,volkswagen,5994.9082568807335,2006,133000,Manual,2.0,Diesel,1994,Great
316,toyota,3982.165680473373,2006,58000,Manual,1.0,Petrol,2495,Higher
317,bmw,6605.586206896552,2006,106000,Automatic,2.5,Petrol,1995,Lower
318,suzuki,5271.309677419355,2006,72034,Manual,1.5,Petrol,1795,Good
319,bmw,8238.234042553191,2006,127333,Automatic,2.5,Diesel,1995,Lower
320,mercedes-benz,7442.675,2006,133000,Automatic,3.0,Diesel,1999,Great
321,hyundai,1965.5,2006,59499,Automatic,1.4,Petrol,2100,Fair
322,volkswagen,4153.45,2006,109000,Manual,1.9,Diesel,1999,Fair
323,bmw,6605.586206896552,2006,176737,Manual,2.0,Diesel,1750,Fair
324,volvo,3650.4285714285716,2006,150000,Automatic,2.4,Diesel,1980,Lower
325,bmw,8238.234042553191,2006,114208,Automatic,3.0,Diesel,4290,Lower
326,mazda,7650.494117647058,2006,59000,Manual,2.3,Petrol,6995,Fair
327,bmw,6605.586206896552,2006,112000,Manual,2.0,Petrol,2000,Good
328,audi,5946.259259259259,2006,148392,Automatic,3.0,Diesel,1995,Great
329,mercedes-benz,5196.0,2006,122741,Automatic,3.0,Diesel,2995,Great
330,bmw,6588.214285714284,2006,109417,Manual,2.0,Diesel,3495,Higher
331,volkswagen,2778.75,2006,79000,Automatic,1.6,Petrol,1999,Great
332,toyota,5178.913043478261,2006,76000,Manual,2.0,Petrol,3490,Great
333,toyota,3982.165680473373,2006,69934,Manual,1.3,Petrol,1985,Great
334,honda,4698.149350649352,2006,106000,Manual,1.8,Petrol,1695,Great
335,mini,6426.404682274248,2006,99000,Manual,1.6,Petrol,1790,Fair
336,honda,4698.149350649352,2006,66000,Manual,1.8,Petrol,2300,Great
337,mitsubishi,1745.0,2006,85000,Manual,2.0,Diesel,1745,Great
338,volkswagen,5994.9082568807335,2006,75000,Automatic,2.0,Diesel,1999,Lower
339,honda,5048.4745762711855,2006,99507,Manual,2.2,Diesel,3490,Higher
340,ford,3930.285714285714,2006,137000,Manual,2.0,Diesel,1989,Lower
341,toyota,2251.4,2006,78950,Manual,1.8,Petrol,1987,Lower
342,volkswagen,4862.5,2006,84000,Automatic,3.6,Petrol,5726,Good
343,nissan,3361.174418604651,2006,69343,Manual,1.4,Petrol,1590,Great
344,bmw,7848.303225806451,2006,103974,Automatic,2.0,Petrol,3000,Good
345,bmw,7848.303225806451,2006,70100,Automatic,2.0,Diesel,1990,Lower
346,toyota,3982.165680473373,2006,66087,Manual,1.0,Petrol,1795,Great
347,hyundai,2599.4736842105262,2006,24000,Automatic,2.0,Petrol,3995,Higher
348,mini,3935.633333333333,2006,70000,Manual,1.6,Petrol,3195,Great
349,ford,5246.603305785124,2006,109000,Automatic,2.0,Petrol,1595,Great
350,vauxhall,2624.614285714286,2006,87835,Manual,1.6,Petrol,1675,Fair
351,lexus,2000.0,2006,100599,Manual,2.2,Diesel,2247,Fair
352,volvo,3124.666666666666,2006,118000,Automatic,2.4,Diesel,2995,Fair
